row_idx,total_graders,num_available_graders,num_graders,spu_GED2_all,spu_E_IoU_SY_all,spu_E_IoU_SS_all,spu_E_IoU_YY_all,hpu_GED2_all,hpu_E_IoU_SY_all,hpu_E_IoU_SS_all,hpu_E_IoU_YY_all,spu_IoUrec_all,hpu_IoUrec_all,spu_Hungarian_all,hpu_Hungarian_all,num_nonempty_graders,spu_GED2_nonempty,spu_E_IoU_SY_nonempty,spu_E_IoU_SS_nonempty,spu_E_IoU_YY_nonempty,hpu_GED2_nonempty,hpu_E_IoU_SY_nonempty,hpu_E_IoU_SS_nonempty,hpu_E_IoU_YY_nonempty,spu_IoUrec_nonempty,hpu_IoUrec_nonempty,spu_Hungarian_nonempty,hpu_Hungarian_nonempty
0,4,4,4,0.35258944234114586,0.319976080292151,0.44655682537780894,0.5459847775476389,0.029590607398493063,0.5321696847817823,0.5479451994144188,0.5459847775476389,0.45910550647984827,0.9403036579071411,0.031746031746031744,0.2463342024591784,4,0.35258944234114586,0.319976080292151,0.44655682537780894,0.5459847775476389,0.029590607398493063,0.5321696847817823,0.5479451994144188,0.5459847775476389,0.45910550647984827,0.9403036579071411,0.031746031746031744,0.2463342024591784
1,4,2,4,0.19170578869568056,0.29813073098007387,0.38012581547064306,0.4078414351851852,0.028136410559149616,0.39390502372854286,0.4081050228310502,0.4078414351851852,0.6410005218681047,0.9433541218762784,0.5278637770897833,0.45661403972951925,2,0.766823154782722,0.19252292392029546,0.5205032618825722,0.6313657407407407,0.11254564223659891,0.5756200949141713,0.6324200913242009,0.6313657407407407,0.2820010437362094,0.8867082437525569,0.02786377708978327,0.154676441761278
2,4,1,4,0.07323673184357538,0.5883816340782123,0.625,0.625,0.002596789423984891,0.6237016052880076,0.625,0.625,0.8535265363128491,0.9948064211520302,0.768483709273183,0.75,1,1.1717877094972067,0.41410614525139666,1.0,1.0,0.041548630783758256,0.9792256846081209,1.0,1.0,0.41410614525139666,0.9792256846081209,0.018483709273182953,0.0
3,4,1,4,0.032819634703196376,0.6085901826484018,0.625,0.625,0.005115089514066362,0.6224424552429668,0.625,0.625,0.9343607305936072,0.989769820971867,0.5916571732361205,0.6387192541946912,1,0.5251141552511416,0.7374429223744292,1.0,1.0,0.08184143222506401,0.959079283887468,1.0,1.0,0.7374429223744292,0.959079283887468,0.12576584962903403,0.26951646099983756
4,4,1,4,0.03174603174603163,0.6091269841269842,0.625,0.625,0.00363372093023262,0.6231831395348837,0.625,0.625,0.9365079365079365,0.9927325581395349,0.3293610470263458,0.4434815201095104,1,0.5079365079365079,0.746031746031746,1.0,1.0,0.058139534883721034,0.9709302325581395,1.0,1.0,0.746031746031746,0.9709302325581395,0.3451848607685046,0.19993815202054432
5,4,1,4,0.02807486631016043,0.6109625668449198,0.625,0.625,0.0015015015015014122,0.6242492492492493,0.625,0.625,0.9438502673796791,0.996996996996997,0.40244652077698545,0.825531914893617,1,0.44919786096256686,0.7754010695187166,1.0,1.0,0.024024024024023927,0.987987987987988,1.0,1.0,0.7754010695187166,0.987987987987988,0.09179126238076324,0.07553191489361703
6,4,1,4,0.026054590570719682,0.6119727047146402,0.625,0.625,0.00533333333333319,0.6223333333333334,0.625,0.625,0.9478908188585609,0.9893333333333334,0.184028497707743,0.6213628079436903,1,0.4168734491315136,0.7915632754342432,1.0,1.0,0.08533333333333326,0.9573333333333334,1.0,1.0,0.7915632754342432,0.9573333333333334,0.46259763368100426,0.22168918380360272
7,4,1,4,0.03287037037037033,0.6085648148148148,0.625,0.625,0.004536290322580516,0.6227318548387097,0.625,0.625,0.9342592592592592,0.9909274193548387,0.1610139153700696,0.16193025375922512,1,0.5259259259259259,0.737037037037037,1.0,1.0,0.07258064516129026,0.9637096774193549,1.0,1.0,0.737037037037037,0.9637096774193549,0.5317089427927634,0.57913165943647
8,4,1,4,0.04540441176470589,0.6022977941176471,0.625,0.625,0.007983193277310896,0.6210084033613446,0.625,0.625,0.9091911764705882,0.9840336134453782,0.1657651680871495,0.32119342666000045,1,0.7264705882352942,0.6367647058823529,1.0,1.0,0.12773109243697478,0.9361344537815126,1.0,1.0,0.6367647058823529,0.9361344537815126,0.5664728973654554,0.45948083638956533
9,4,1,4,0.03228021978021989,0.6088598901098901,0.625,0.625,0.006502890173410325,0.6217485549132948,0.625,0.625,0.9354395604395604,0.9869942196531791,0.17452175525092192,0.44835656521967077,1,0.5164835164835164,0.7417582417582418,1.0,1.0,0.10404624277456653,0.9479768786127167,1.0,1.0,0.7417582417582418,0.9479768786127167,0.3965560736423126,0.27133297825180086
10,4,1,4,0.03986220472440949,0.6050688976377953,0.625,0.625,0.0090425531914895,0.6204787234042553,0.625,0.625,0.9202755905511811,0.9819148936170212,0.6960649075186521,0.5938723620645817,1,0.6377952755905512,0.6811023622047244,1.0,1.0,0.14468085106382977,0.9276595744680851,1.0,1.0,0.6811023622047244,0.9276595744680851,0.03270220560969459,0.17936002758854488
